Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
210,149,81,149,144,212,81,212,144,0.0336015,1.69165,-0.338194,0.0335104,2.12204,0.00552922,-8372,-8372,-8372,-8372,-8372,0,89,61,89,-53,-33,61,-33,-53,-0.034084,0.0708413,-0.0447516,-0.00385951,-0.0110347,-0.0117893,-8372,26481,-40626,618,-1767,1573,128,178.863,,
210,149,81,149,144,212,81,212,144,0.0301867,1.70269,-0.343996,0.0328821,2.1212,0.00552922,-8524,-8524,-8524,-8524,-8524,0,89,61,89,-53,-33,61,-33,-53,-0.0347034,0.0713249,-0.0443762,-0.00421564,-0.0118784,-0.0125447,-8524,26662,-40286,675,-1902,1674,129,178.863,,
206,146,79,146,142,210,79,210,142,0.0269085,1.71166,-0.349688,0.0320443,2.12099,0.00527789,-5001,-5001,-5001,-5001,-5001,0,86,59,86,-55,-35,59,-35,-55,-0.02036,0.0612871,-0.0430521,-0.00255711,-0.00977493,-0.00747103,-5001,22909,-39084,409,-1565,997,128,175.243,,
213,147,75,147,141,209,75,209,141,0.021718,1.72863,-0.355158,0.0316254,2.12079,0.00527789,-19475,-19475,-19475,-19475,-19475,0,87,55,87,-56,-36,55,-36,-56,-0.0792832,0.0989287,-0.0540661,-0.0109751,-0.0204694,-0.0309685,-19475,36980,-49082,1758,-3279,4134,130,173.035,,
199,145,73,145,139,211,73,211,139,0.0168007,1.73141,-0.361552,0.0307877,2.12058,0.00502656,-7262,-7262,-7262,-7262,-7262,0,85,53,85,-58,-34,53,-34,-58,-0.029563,0.0631821,-0.0450199,-0.00388408,-0.011066,-0.0108891,-7262,23618,-40870,622,-1772,1453,128,168.976,,
199,144,71,144,138,210,71,210,138,0.00409774,1.7429,-0.367836,0.0259706,2.11869,0.0045239,-9385,-9385,-9385,-9385,-9385,0,84,51,84,-59,-35,51,-35,-59,-0.0382079,0.0681411,-0.0482343,-0.00529494,-0.0127397,-0.0145937,-9385,25472,-43788,848,-2040,1948,127,166.871,,
199,144,71,144,138,210,71,210,138,0.0015025,1.749,-0.373675,0.0253422,2.11869,0.00427258,-9487,-9487,-9487,-9487,-9487,0,84,51,84,-59,-35,51,-35,-59,-0.038623,0.0685084,-0.0481146,-0.00548846,-0.0132242,-0.0150804,-9487,25609,-43679,879,-2118,2013,129,166.871,,
195,139,68,139,134,206,68,206,134,-0.00273183,1.75897,-0.380254,0.0236667,2.11722,0.00376992,-3848,-3848,-3848,-3848,-3848,0,79,48,79,-63,-39,48,-39,-63,-0.0156674,0.0540923,-0.0426377,-0.00247924,-0.0105215,-0.00683934,-3848,20220,-38707,397,-1685,913,128,162.496,,
192,138,66,138,134,206,66,206,134,-0.00710275,1.77422,-0.385798,0.0224101,2.11639,0.00251328,-5216,-5216,-5216,-5216,-5216,0,78,46,78,-63,-39,46,-39,-63,-0.0212369,0.0558729,-0.0440946,-0.00329782,-0.0116089,-0.00899443,-5216,20886,-40030,528,-1859,1200,132,159.772,,
185,136,63,136,134,206,63,206,134,-0.00819548,1.77584,-0.392007,0.0207346,2.11618,0.00201062,-5512,-5512,-5512,-5512,-5512,0,76,43,76,-63,-39,43,-39,-63,-0.0224396,0.0533376,-0.044157,-0.00312724,-0.0110801,-0.00875277,-5512,19938,-40087,501,-1775,1168,129,155.274,,
