No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
67,105,124,73,124,167,222,73,222,167,-0.148611,1.94369,-0.716147,0.0131947,2.19576,-0.111841,-1982,-1982,-1982,-1982,-1982,0,64,53,64,-30,-23,53,-23,-30,-0.00807244,0.0343604,-0.0211296,-0.00285697,-0.0122696,-0.00897013,-1982,12844,-19182,457,-1965,1197,130,136.297
68,105,125,72,125,167,223,72,223,167,-0.150114,1.94908,-0.718882,0.0127758,2.19576,-0.112092,-2627,-2627,-2627,-2627,-2627,0,65,52,65,-30,-22,52,-22,-30,-0.0106963,0.0352391,-0.0190381,-0.00357377,-0.0118038,-0.0092745,-2627,13172,-17283,572,-1891,1238,128,135.757
69,101,123,70,123,166,223,70,223,166,-0.150933,1.95348,-0.72158,0.0127758,2.19576,-0.112344,-1925,-1925,-1925,-1925,-1925,0,63,50,63,-31,-22,50,-22,-31,-0.00783992,0.0321143,-0.0192409,-0.00277899,-0.0117888,-0.00852271,-1925,12004,-17467,445,-1888,1137,129,131.784
70,101,123,70,123,166,223,70,223,166,-0.152436,1.95662,-0.723982,0.0125664,2.19576,-0.113852,-1948,-1948,-1948,-1948,-1948,0,63,50,63,-31,-22,50,-22,-31,-0.00793248,0.0322628,-0.0192323,-0.00281886,-0.0119465,-0.00863239,-1948,12060,-17459,451,-1913,1152,130,131.784
71,98,122,69,122,166,223,69,223,166,-0.153255,1.96102,-0.726421,0.012357,2.19576,-0.116365,-1875,-1875,-1875,-1875,-1875,0,62,49,62,-31,-22,49,-22,-31,-0.00763332,0.0307617,-0.0181297,-0.00272394,-0.0114875,-0.00823779,-1875,11499,-16458,436,-1840,1099,132,129.692
72,98,122,68,122,165,223,68,223,165,-0.153665,1.96586,-0.729267,0.012357,2.19576,-0.117873,-1894,-1894,-1894,-1894,-1894,0,62,48,62,-32,-22,48,-22,-32,-0.00771367,0.0309681,-0.0180982,-0.00275901,-0.0117789,-0.00833168,-1894,11576,-16430,442,-1887,1112,130,128.81
73,96,122,66,122,165,224,66,224,165,-0.153665,1.97035,-0.731374,0.0121475,2.19576,-0.119632,-2333,-2333,-2333,-2333,-2333,0,62,46,62,-32,-21,46,-21,-32,-0.00949977,0.0303539,-0.0159522,-0.00312388,-0.010879,-0.00805726,-2333,11346,-14481,500,-1742,1075,130,126.262
74,94,122,64,122,164,225,64,225,164,-0.154485,1.97663,-0.73385,0.0121475,2.19576,-0.120135,-2331,-2331,-2331,-2331,-2331,0,62,44,62,-33,-20,44,-20,-33,-0.00948958,0.0295182,-0.0154659,-0.00304781,-0.010872,-0.00790799,-2331,11034,-14040,488,-1741,1055,130,124.036
75,85,119,61,119,164,226,61,226,164,-0.156397,1.98031,-0.735661,0.0108909,2.19556,-0.120386,-1603,-1603,-1603,-1603,-1603,0,59,41,59,-33,-19,41,-19,-33,-0.0065284,0.024138,-0.01353,-0.00226657,-0.00949073,-0.00656832,-1603,9023,-12282,363,-1520,876,131,117.541
76,85,119,61,119,164,226,61,226,164,-0.15749,1.98283,-0.737288,0.0106814,2.19535,-0.121391,-1616,-1616,-1616,-1616,-1616,0,59,41,59,-33,-19,41,-19,-33,-0.00658256,0.0242234,-0.0135227,-0.00229084,-0.00958425,-0.00663154,-1616,9055,-12276,367,-1535,885,129,117.541
77,83,118,60,118,163,226,60,226,163,-0.158856,1.98534,-0.739542,0.010472,2.19535,-0.122145,-1226,-1226,-1226,-1226,-1226,0,58,40,58,-34,-19,40,-19,-34,-0.00499331,0.0229333,-0.013614,-0.00198205,-0.00977053,-0.00655135,-1226,8572,-12359,317,-1565,874,129,115.784
78,83,118,59,118,163,226,59,226,163,-0.158992,1.98785,-0.741316,0.0100531,2.19514,-0.122648,-1569,-1569,-1569,-1569,-1569,0,58,39,58,-34,-19,39,-19,-34,-0.0063908,0.0233365,-0.0128983,-0.00220385,-0.00941817,-0.00639674,-1569,8723,-11709,353,-1508,853,129,114.756
79,83,118,58,118,163,226,58,226,163,-0.158992,1.991,-0.742943,0.0100531,2.19514,-0.123402,-1909,-1909,-1909,-1909,-1909,0,58,38,58,-34,-19,38,-19,-34,-0.00777449,0.0237884,-0.0123005,-0.00241321,-0.00917157,-0.00628355,-1909,8892,-11166,386,-1469,838,129,113.745
80,83,118,58,118,163,226,58,226,163,-0.161178,1.99423,-0.744828,0.00963424,2.19514,-0.124156,-1932,-1932,-1932,-1932,-1932,0,58,38,58,-34,-19,38,-19,-34,-0.00786753,0.0239087,-0.0122976,-0.0024593,-0.00929684,-0.00639311,-1932,8937,-11164,393,-1489,853,128,113.745
